#SM 	#error_m	#error_p
1	0.062205	0.061513 
1       0.027109 	0.026753 
1       0.027879 	0.027245
1       0.041826 	0.041522         
1       0.10216  	0.10254
1       0.12837  	0.065582
1       0.061502 	0.060802
1       0.025454 	0.025074
1       0.028318 	0.027762
1       0.089341 	0.088229
1       0.061502 	0.060802
1       0.025454 	0.025074
1       0.026273 	0.025599
1       0.040772 	0.040461
1       0.089341 	0.088229
1       0.061575 	0.060876
1       0.02563  	0.025253
1       0.028477 	0.027924
1       0.089392 	0.088280
1       0.019635 	0.019582
1       0.036769 	0.036741
1       0.086498 	0.085139
1       0.052422 	0.052115
1       0.061064 	0.060374
1       0.024362 	0.023880
