0.014982	0.002089	0.002086
0.046762	0.003666	0.003651
0.014755	0.002088	0.002085
0.010215	0.001394	0.001392
0.001702	0.000299	0.000299
0.00681	0.001376	0.001375
0.002134	0.000503	0.000503
0.001998	0.00048	0.00048
0.001044	0.000229	0.000229
0.000241	0.000062	0.000062
0.000041	0.000011	0.000011
0.004903	0.000197	0.000194
0.001158	0.00005	0.000049
0.001668	0.000065	0.000064
0.001214	0.000046	0.000045
0.000581	0.000023	0.000023
0.000508	0.00002	0.00002
0.00049	0.00002	0.000019
0.000167	0.000006	0.000006
0.000166	0.000006	0.000006
0.000488	0.000023	0.000023
0.000304	0.000014	0.000014
0.000094	0.000005	0.000005
0.000023	0.000001	0.000001
0.000005	0.	0.
0.000449	0.000021	0.00002
0.000073	0.000009	0.000009
0.000016	0.000002	0.000002
0.000003	0.	0.
0.000268	0.000037	0.000037
0.000404	0.000047	0.000047
0.000286	0.000035	0.000035
0.00012	0.000016	0.000016
0.000043	0.000007	0.000007
0.000012	0.000002	0.000002
0.000193	0.000013	0.000026
