-0.960	2.381
-0.950	2.607
-0.928	2.791
-0.898	2.972
-0.862	3.128
-0.811	3.290
-0.733	3.491
-0.640	3.683
-0.526	3.857
-0.393	4.015
-0.240	4.147
-0.071	4.243
0.081	4.288
0.221	4.313
0.373	4.304
0.521	4.284
0.660	4.229
0.794	4.161
0.929	4.070
1.093	3.945
1.241	3.812
1.348	3.700
1.460	3.584
1.554	3.466
1.656	3.315
1.750	3.173
1.836	3.033
1.926	2.878
2.014	2.702
2.103	2.506
2.179	2.306
2.241	2.114
2.284	1.967
2.315	1.807
2.341	1.633
2.361	1.477
2.356	1.345
2.347	1.221
2.315	1.070
2.272	0.905
2.187	0.715
2.069	0.544
1.923	0.406
1.765	0.294
1.630	0.228
1.489	0.181
1.346	0.146
1.208	0.127
1.060	0.120
0.921	0.126
0.779	0.143
0.641	0.170
0.501	0.206
0.363	0.250
0.190	0.331
0.018	0.430
-0.145	0.543
-0.295	0.675
-0.434	0.823
-0.562	0.989
-0.673	1.169
-0.766	1.363
-0.836	1.553
-0.883	1.701
-0.922	1.900
-0.953	2.129
